ds,trend,confirmed,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,country
3/22/2021,649.7147117,1141,1066,1217,649.7147117,649.7147117,0,0,0,0,0,0,0.756243879,0.756243879,0.756243879,0.756243879,0.756243879,0.756243879,Estonia
3/23/2021,652.2612071,1339,1256,1418,652.2612071,652.2612071,0,0,0,0,0,0,1.052514028,1.052514028,1.052514028,1.052514028,1.052514028,1.052514028,Estonia
3/24/2021,654.8077025,1739,1656,1821,654.648983,655.1371098,0,0,0,0,0,0,1.65507239,1.65507239,1.65507239,1.65507239,1.65507239,1.65507239,Estonia
3/25/2021,657.3541979,1840,1766,1925,656.6291634,658.5530342,0,0,0,0,0,0,1.79919518,1.79919518,1.79919518,1.79919518,1.79919518,1.79919518,Estonia
3/26/2021,659.9006933,1642,1561,1721,658.2970922,661.9929113,0,0,0,0,0,0,1.48770646,1.48770646,1.48770646,1.48770646,1.48770646,1.48770646,Estonia
3/27/2021,662.4471887,1608,1528,1683,659.7466444,665.2724116,0,0,0,0,0,0,1.427134537,1.427134537,1.427134537,1.427134537,1.427134537,1.427134537,Estonia
3/21/2021,318.9798431,711,650,770,318.9798431,318.9798431,0,0,0,0,0,0,1.22937146,1.22937146,1.22937146,1.22937146,1.22937146,1.22937146,Finland
3/22/2021,322.713411,541,483,604,322.713411,322.713411,0,0,0,0,0,0,0.677762152,0.677762152,0.677762152,0.677762152,0.677762152,0.677762152,Finland
3/23/2021,326.4469789,711,651,769,326.4469789,326.4469789,0,0,0,0,0,0,1.177494861,1.177494861,1.177494861,1.177494861,1.177494861,1.177494861,Finland
3/24/2021,330.1805467,888,829,945,330.0915348,330.2144965,0,0,0,0,0,0,1.688372455,1.688372455,1.688372455,1.688372455,1.688372455,1.688372455,Finland
3/25/2021,333.9141146,894,833,948,333.5334264,334.2650044,0,0,0,0,0,0,1.676848687,1.676848687,1.676848687,1.676848687,1.676848687,1.676848687,Finland
3/26/2021,337.6476825,874,816,934,336.9256801,338.2548258,0,0,0,0,0,0,1.587391406,1.587391406,1.587391406,1.587391406,1.587391406,1.587391406,Finland
3/27/2021,341.3812504,891,831,951,340.2643221,342.4038217,0,0,0,0,0,0,1.609745323,1.609745323,1.609745323,1.609745323,1.609745323,1.609745323,Finland
3/21/2021,10505.1406,20418,11781,29186,10505.1406,10505.1406,0,0,0,0,0,0,0.943594148,0.943594148,0.943594148,0.943594148,0.943594148,0.943594148,France
3/22/2021,10550.30569,21627,13076,30337,10550.30569,10550.30569,0,0,0,0,0,0,1.049932214,1.049932214,1.049932214,1.049932214,1.049932214,1.049932214,France
3/23/2021,10595.47078,25144,16427,33791,10595.47078,10595.47078,0,0,0,0,0,0,1.373131901,1.373131901,1.373131901,1.373131901,1.373131901,1.373131901,France
